ID,FH,CL,PL,PE,AWL,ANL,FLL,FLW,CD,CH,PS,FLA,SN,GL,GWE,GWI
NIV,,57.9,19.4,0,4.1,0.183333333,NA,NA,NA,NA,0,25,31,0.950780873,0.6668,0.272241211
NIV,67,NA,24.4,0,5,0.2,28,1.033333333,4.476666667,56.66666667,0,23.33333333,52,0.947356481,0.6051,0.268870268
NIV,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.961809541,0.6214,0.279556274
NIV,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932796865,0.6465,0.271608161
NIV,67,NA,24.7,0,5.6,0.2,32.6,1.066666667,4.676666667,68.33333333,0,26.66666667,70.66666667,0.966462711,0.6229,0.263633632
NIV,65,49.5,21.5,0,4.2,0.2,30,1.3,3.853333333,56.66666667,0,25,64,0.938949965,0.6501,0.25169487
NIV,69,49.3,22.6,0,5.2,0.2,29.6,1.066666667,3.653333333,55,0,21.66666667,57.5,0.916399002,NA,0.260437013
NIV,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.864639283,NA,0.246479417
NIV,69,64.2,23.9,0,6.1,0.2,26.93333333,1.2,3.643333333,61.66666667,0,21.66666667,70.33333333,0.930889607,NA,0.252422619
NIV,64,52.6,24.2,0,4.8,NA,35.2,1.1,3.91,61.66666667,0,30,64,0.897819525,NA,0.265032959
NIV,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972380631,NA,0.277123068
NIV,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928667069,NA,0.260684206
NIV,67,53.2,20.9,0,4.2,0.15,28.85,1.133333333,3.706666667,53.33333333,0,18.33333333,66.33333333,0.913561251,NA,0.246311951
NIV,69,52.5,23.1,0,6,0.2,25.66666667,1.1,5.013333333,58.33333333,0,31.66666667,55,0.924110415,NA,0.26112833
NIV,68,59.6,21.4,0,4.6,0.183333333,23.53333333,1,4.536666667,55,0,35,65,0.889883215,NA,0.246773459
NIV,63,60.1,20.9,0,4.6,0.2,23.5,1.35,3.506666667,53.33333333,0,21.66666667,53.66666667,0.870797726,NA,0.25461426
NIV,60,53.4,16.9,0,2.9,0.15,21.7,1.2,NA,NA,0,20,31,NA,NA,NA
NIV,68,61.4,24.3,0,4.8,0.15,39.6,1.266666667,3.426666667,51.66666667,0,43.33333333,79.33333333,NA,NA,NA
NIV,69,49.7,20.2,0,4.2,0.15,21.15,1.1,3.413333333,53.33333333,0,38.33333333,56.33333333,NA,NA,NA
NIV,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIV,63,57.8,25.7,0,5,0.2,34.66666667,1.2,5.356666667,70,0,36.66666667,69.66666667,NA,NA,NA
RUF,116,110.8,23.1,12.6,3.2,0.453333333,26.86666667,0.7,5.103333333,70,NA,93.33333333,35.33333333,0.871234131,0.4448,0.230079651
RUF,121,104.9,24.1,7.9,4.6,0.483333333,27.2,0.7,5.116666667,50,30,91.66666667,52.33333333,0.901893997,0.4272,0.239913559
RUF,116,98.7,19.4,8.8,5,0.47,24.43333333,0.7,4.943333333,60,20,83.33333333,44.33333333,0.905308534,0.4941,0.22613144
RUF,121,104.9,25.7,7.6,4.1,0.47,28.03333333,0.8,4.783333333,50,NA,90,40,0.902535249,0.5015,0.242669677
RUF,131,109.7,24.7,5.9,2.4,0.44,29.4,0.7,5.396666667,53.33333333,30,96.66666667,57.33333333,0.87472829,0.4433,0.219459892
RUF,121,112.6,23.6,9,4.2,0.46,30,0.7,4.666666667,55,NA,106.6666667,31,0.874842834,0.4811,0.222508241
RUF,116,103.6,25.4,7.4,4.1,0.45,34.7,0.633333333,5.116666667,50,NA,106.6666667,31,0.84368744,NA,0.228421021
RUF,116,105.8,22.2,10.7,4,0.44,27.1,0.633333333,4.983333333,40,NA,100,37,0.881524657,NA,0.238195802
RUF,112,109.6,23.1,7,4.5,0.4,28.23333333,0.7,4.35,60,NA,103.3333333,28,0.888689423,NA,0.22454834
RUF,121,101.1,21.7,12.2,4.8,0.443333333,26.26666667,0.7,5.063333333,50,NA,73,28,0.89837789,NA,0.233930874
RUF,116,112.8,23.2,12,3.9,0.45,27.66666667,0.633333333,4.563333333,50,NA,103.3333333,28.33333333,0.872353362,NA,0.224808503
RUF,121,95.2,18.8,9.7,4.4,0.493333333,29.7,0.6,6.043333333,60,15,106.6666667,26.66666667,0.861803818,NA,0.237717438
RUF,121,113.5,21.3,9.9,3.5,0.443333333,20.9,0.666666667,4.703333333,70,NA,100,23,0.867492676,NA,0.236001586
RUF,121,117.5,22.8,12,4,0.466666667,27.73333333,0.666666667,4.726666667,56.66666667,20,91.66666667,29.66666667,0.890165709,NA,0.229408263
RUF,121,117.2,24.8,11,3.8,0.4,28.9,0.633333333,5.583333333,51.66666667,NA,101.6666667,24.66666667,0.803331201,NA,0.222866753
RUF,121,128.5,22.8,8.6,3.3,0.466666667,27.66666667,0.7,4.306666667,43.33333333,15,88.33333333,40.66666667,0.885198974,NA,0.240838624
RUF,121,105.7,31.8,13.2,4.1,0.433333333,31.23333333,0.7,4.63,58.33333333,15,91.66666667,28,NA,NA,NA
RUF,121,95,24.7,4.5,3.4,0.333333333,27.83333333,0.733333333,4.996666667,51.66666667,NA,80,25.33333333,NA,NA,NA
