Parent,FH,CL,CH,CD,FLA,FLL,FLW,PL,SN,ANL,AWL,PS,PE,BLSC,AWC,SC,SE,GL,GWI,GWE
N,73,69,35,0.5,35,22,1.3,17.8,43,0.21,6.8,0,0,0,0,0,0,9.2436559,2.8398452,0.8001
N,69,44,40,0.6,52,24,1.1,17,49,0.2,6.5,0,0,0,1,0,0,9.2257557,2.838305,0.7621
N,70,59,30,0.5,25,20,1.2,19,47,0.2,6.8,0,0,0,0,0,0,9.1039604,2.8298347,0.743
N,73,62,35,0.5,18,25,1.4,20.7,55,0.2,6.8,0,0,0,0,0,0,9.041449,2.8520674,0.6912
N,73,45,45,0.67,47,26,1.3,17.2,55,0.2,5.2,0,0,0,1,0,0,9.2598968,2.8730154,0.7364
N,68,57,NA,NA,NA,21,1.1,17.7,NA,NA,6.2,NA,0,0,NA,NA,NA,9.3197788,2.6200281,0.6982
N,68,63,40,0.5,28,24,1.3,20.5,50,0.2,6.5,0,0,0,0,0,0,8.8602399,2.8095657,0.7163
N,68,66,35,0.5,28,22,1.3,19,49,0.2,6.3,0,0,0,0,0,0,9.3140536,2.8335724,0.7421
N,67,63,30,0.5,20,23,1.3,20,51,0.2,8,0,0,0,0,0,0,9.3037448,2.9710471,0.7588
N,67,66,25,0.5,30,28,1.3,18.7,57,0.2,7,0,0,0,0,0,0,NA,NA,NA
N,67,65,35,0.5,25,23,1.3,15.8,52,0.2,7.2,0,0,0,0,0,0,NA,NA,NA
N,66,45,30,0.6,47,25,1.2,16.8,57,0.2,5.8,0,0,0,1,0,0,NA,NA,NA
N,69,45,40,0.63,48,23,1.1,17,41,0.2,6.2,0,0,0,1,0,0,NA,NA,NA
N,72,69,40,0.67,35,24,1.3,17.5,50,0.2,6.8,0,0,0,0,0,0,NA,NA,NA
N,NA,63,40,0.53,42,24,1.2,18.3,53,0.2,5.8,0,0,0,0,0,0,NA,NA,NA
N,78,43,40,0.67,53,25,1.1,17.5,48,0.18,5.7,0,0,0,1,0,0,NA,NA,NA
N,83,64,35,0.53,37,25,1.2,18.3,47,0.2,6.3,0,0,0,0,0,0,NA,NA,NA
N,81,65,40,0.53,28,22,1.3,18.2,42,0.2,6.8,0,0,0,0,0,0,NA,NA,NA
N,66,47,40,0.6,35,25,1.2,17.7,50,0.2,6,0,0,0,1,0,0,NA,NA,NA
N,74,45,45,0.63,45,29,1.2,17.8,52,0.2,6.8,0,0,0,1,0,0,NA,NA,NA
N,66,NA,30,0.6,45,27,1.2,16.8,46,0.2,5,0,0,0,1,0,0,NA,NA,NA
N,73,NA,45,0.6,37,25,1.2,16.2,41,0.19,5.8,0,0,0,1,0,0,9.0531984,2.753037,0.6975
R,112,93,55,0.5,75,25,0.8,25.3,47,0.41,2.3,42,7.8,1,1,1,1,NA,NA,NA
R,108,NA,70,0.67,75,23,0.7,NA,44,0.4,1,43,NA,1,1,1,1,NA,NA,NA
R,107,95,65,0.63,97,29,0.7,25.3,46,0.43,2.5,37,8.7,1,1,1,1,8.0085102,2.3872428,0.465
R,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
R,106,105,65,0.47,97,25,0.7,26.3,56,0.48,2.4,45,10.3,1,1,1,1,8.2320056,2.3677562,0.4668
R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3347288,2.1962133,0.4726
R,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
R,104,94,65,0.53,85,28,0.8,25.2,48,0.4,2.5,47,8.5,1,1,1,1,8.1122407,2.434668,0.4367
R,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,8.0580146,2.1751603,0.4451
R,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
R,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
R,110,113,70,0.5,103,33,0.9,29.8,59,0.42,3.7,48,9.8,1,1,1,1,8.3098098,2.2526611,0.4593
R,96,94,60,0.5,97,26,0.8,NA,42,0.43,2.2,48,11.2,1,1,1,1,7.7911579,2.3626775,0.4587
R,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,8.6085819,2.3775055,0.4932
R,108,109,55,0.67,97,35,0.9,26,58,0.41,2.5,58,11.8,1,1,1,1,NA,NA,NA
R,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
R,103,106,55,0.57,108,31,0.8,28,62,0.41,2,45,9.2,1,1,1,1,NA,NA,NA
R,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
R,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,7.9541672,2.2729829,0.4292
R,107,90,60,0.53,95,32,0.9,25,45,0.44,1.8,43,7.5,1,1,1,1,NA,NA,NA
R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2050837,2.3453521,0.483
R,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
R,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
R,105,106,55,0.57,100,26,0.8,25.2,36,0.42,1.5,38,8.3,1,1,1,1,NA,NA,NA
R,110,105,55,0.5,83,28,0.8,25.5,46,0.42,2.7,37,8,1,1,1,1,NA,NA,NA
