ID,FH,CL,CH,CD,FLA,FLL,FLW,PS,PE,PL,AWL,ANL,SN,PAF,PAS,PAT,GWE,GL,GWI
6003,79,106.67,45,0.5317,31.67,52.9,1.23,11.67,0,30.73,7.47,0.3,60.33,0,NA,0,0.6447,0.9812,0.2891
6008,133,143,50,0.686,11.67,63.97,1.47,13.33,5.33,31.53,5.33,0.3,108,1,0,NA,0.7111,0.9389,0.2948
6010,115,109,20,0.5963,13.33,33.3,1.07,8.33,0,31.97,5.07,0.34,67,3,1,4,0.4061,NA,NA
6011,133,136.33,50,0.4497,80,32.73,0.87,16.67,9.17,33.93,4.83,0.44,45.33,5,4,4,0.5706,0.9337,0.2715
6012,136,140.67,50,0.6403,18.33,39.07,1.2,16.67,2.53,31.97,3.93,0.387,86,4,1,1,0.6751,1.0281,0.2571
6021,133,160.33,30,0.6517,51.67,55.5,1.33,16.67,0,26.7,3.43,0.35,76.67,2,1,0,0.6811,0.9576,0.274
6023,100,124.33,50,0.7083,16.67,58.43,1.2,26.67,0,36.17,5.83,0.3,81.33,3,1,1,0.6991,0.8621,0.259
6024,118,121.33,45,0.5847,16.67,44.03,1.2,13.33,2.07,31.07,5.77,0.32,53.67,1,NA,0,0.72,1.0071,0.2524
6026,118,117.33,55,0.613,26.67,45.13,1.27,30,1.7,29.27,4.13,0.313,90.67,1,1,0,0.6591,0.8861,0.2655
6028,114,130.67,70,0.5323,65,46.5,1.1,15,0.97,26.4,4.1,0.37,69,1,3,2,0.6929,0.994,0.2606
6031,91,106.67,65,0.4073,76.67,38.9,0.9,60,10.4,24.83,4.9,0.32,46,3,1,2,0.6183,1.0057,0.274
6032,89,103,50,0.6933,23.33,40.2,1.18,11.67,0,28.43,4.1,0.35,93.67,4,3,0,0.5637,0.8593,0.2592
6034_1,121,110,40,0.5523,11.67,48.03,1.17,20,2.13,25.2,5.23,0.32,56.67,2,1,2,0.6092,0.9364,0.2764
6034_2,111,104.33,50,0.5997,11.67,38.33,1.07,8.33,2.57,25.33,4.9,0.33,47.67,3,2,3,0.6435,0.9042,0.2566
6036,151,153.67,NA,0.6313,40,48.93,1.23,13.33,4.77,29.93,2.8,0.32,85.67,4,3,3,NA,NA,NA
6037,120,178.67,45,0.666,70,47.03,1.1,46.67,9.97,37.53,4.03,0.313,122.67,5,0,2,0.5969,0.9339,0.2569
6038,97,115.67,65,0.5733,41.67,44.47,1.13,28.33,1.4,30.77,6,0.3,68.67,3,3,NA,0.6001,0.9157,0.2545
6040,113,113.33,50,0.4773,10,34.37,1.1,11.67,0,23.2,3.18,0.37,71.33,3,0,0,0.5805,0.954,0.2491
6044,124,162.67,50,0.516,48.33,37.83,1.23,10,5.57,30.87,2,0.36,78,3,0,0,0.652,1.0068,0.26
6046,115,134.67,50,0.6643,83.33,48.4,1.07,30,8.77,25.97,0,0.4,131.67,3,0,NA,0.5095,0.8302,0.227
6048,112,133.67,40,0.5993,50,55.83,1.3,18.33,4.83,29.83,4.75,0.37,98.33,2,0,0,0.5593,0.9673,0.2504
6053,134,140.67,50,0.5057,40,55.87,1.23,13.33,8.5,32.1,7.9,0.35,77.67,4,1,3,0.7104,0.9334,0.264
6055,114,119.67,60,0.4663,18.33,44.33,1.2,30,3.23,28.8,3.97,0.36,106.67,2,3,3,0.5885,0.8913,0.2558
6060,128,125.67,45,0.4577,13.33,44.87,1,18.33,2.43,29.03,4.03,0.4,56.67,3,3,2,0.481,0.8805,0.249
6061,105,104,50,0.4717,21.67,33.77,0.97,11.67,2.5,25.63,2.67,0.35,45,3,1,0,0.6487,0.9462,0.2464
6063,114,143,30,0.653,23.33,37.67,1.2,15,1.7,27.37,0,0.293,101,2,1,0,0.5831,0.936,0.2712
6064,68,108.67,65,0.8333,16.67,21.63,0.93,8.33,6,24.93,3.4,0.25,81.33,4,1,0,0.6953,0.8004,0.28
6066,118,109,50,0.5027,35,40.6,1.03,20,0,24.27,4.5,0.25,62,1,0,0,0.662,1.0022,0.2498
6068,122,139.67,40,0.548,11.67,38.33,1.03,15,0.17,29.17,0,0.28,73,3,0,1,0.577,0.9322,0.241
6075,99,129.33,40,0.507,18.33,54.1,1.17,13.33,0.67,32.27,4.87,0.4,84.67,4,0,0,NA,NA,NA
6076,85,108.67,30,0.543,31.67,42.2,1.27,13.33,1,26.6,4.27,0.33,36,4,1,2,0.6054,1.0333,0.2722
6079,141,163,60,0.68,38.33,42.57,0.97,10,1.83,29.93,2.13,0.32,65,5,1,0,0.517,0.9464,0.2379
6083,102,144,60,0.696,20,48.5,1.13,26.67,1.43,32.5,2.97,0.293,110.67,2,0,0,0.6608,0.9426,0.2639
6084,77,107,50,0.4773,13.33,59.33,1.27,28.33,0,28,4.2,0.25,73.33,0,NA,0,NA,0.9815,0.2661
6085,79,124,50,0.638,43.33,48.03,1.13,8.33,1.53,35.6,5.43,0.43,67.33,2,1,1,0.6453,0.9362,0.2473
6086,135,118.33,40,0.524,26.67,51.2,1.23,28.33,3.93,32,5.67,0.413,101,3,2,0,NA,0.994,0.2424
6087,107,108,50,0.6133,26.67,48.23,1,10,2.23,24.27,3.5,0.317,98,4,2,3,0.634,0.8774,0.2968
6092,120,137.33,40,0.581,91.67,49.23,0.9,20,10.43,32.27,4.3,0.42,59.67,4,2,0,0.6118,0.9262,0.2428
6093,95,102.33,50,0.6143,56.67,44.7,1.17,35,5.33,25.67,4.17,0.35,65.67,3,2,3,0.5272,0.8846,0.2331
6095,111,127.67,50,0.537,36.67,35.7,1.1,18.33,3.1,29.57,3.53,0.413,87.33,3,2,4,0.6193,0.9966,0.2301
6096,103,128.5,40,0.7303,21.67,39.8,1.43,6.67,3.1,30.13,5.23,0.26,84.67,1,1,3,0.6693,0.8965,0.2635
6098,117,119.67,40,0.558,18.33,50,1.17,26.67,2.23,24.4,3.77,0.35,78,2,0,0,0.5946,NA,NA
6100,112,158.67,25,0.6407,31.67,48.1,1.1,21.67,3.4,37.2,4.2,0.31,70,2,2,2,0.6353,0.9208,0.2633
61001_1,121,165.67,50,0.6113,33.33,42.67,1.1,21.67,6.9,33.4,4.27,0.407,87.67,5,4,0,0.632,0.9544,0.2494
61001_2,125,121.67,40,0.541,96.67,30,1.2,16.67,2.9,26.63,3.7,0.293,70.67,5,4,4,0.6417,0.9691,0.2431
61002,117,124,30,0.864,6.67,32.8,1.43,15,0,31.9,7.1,0.26,92.33,1,1,0,0.6258,0.9552,0.2907
61005,110,112.33,50,0.504,32.33,35.6,1.13,6.67,2.07,29.23,4.93,0.313,77,4,NA,0,0.56,1.0023,0.2351
61006,124,119.83,40,0.7443,26.67,55.33,0.9,21.67,3.07,33.33,5.03,0.307,62.67,2,1,2,0.5503,0.9077,0.2443
61008,110,146,60,0.74,76.67,34.3,1.03,18.33,8.63,27.33,4.27,0.287,52,3,1,0,0.6501,1.0101,0.2554
61010_1,115,156.33,30,0.611,40,47.6,1.1,21.67,3.1,34.43,5.47,0.413,111.67,4,1,1,0.5791,0.9246,0.2466
61010_2,110,109.67,30,0.782,10,31.27,1.33,10,0,26.4,4.27,0.23,84.67,2,0,0,0.5611,0.8552,0.2868
61012_1,115,143.33,50,0.543,23.33,33.2,1.17,25,6.17,28.5,4.3,0.28,62.33,1,0,0,0.5976,0.8996,0.2594
61013,94,130.67,30,0.4717,18.33,40.67,1.03,25,4.5,33.53,3.6,0.25,74.33,3,1,2,0.4945,0.8943,0.2481
61014,102,106.33,70,0.6,66.67,56.97,1.17,33.33,6.63,28.17,2.77,0.28,78,1,0,1,0.6548,0.9967,0.255
61015,120,116.67,30,0.3583,15,31.33,0.77,3.33,2.97,25.97,4.7,0.28,31,2,1,1,0.5732,0.9207,0.2377
61016,113,138.67,15,0.6307,21.67,43.37,0.93,15,1.63,33.03,4.77,0.32,71,3,2,4,0.6505,0.973,0.2536
61017,112,126.67,60,0.636,26.67,43.9,1.33,31.67,4.17,29.37,3.17,0.32,69.67,1,0,0,0.537,0.9537,0.2616
