FD,FDH,PH,JJS,JCX,JYJ,JYC,JYK,HQSX,SJC,HXC,SHS,HYC,MC,,,,
69,32,46,40,0.37,48,14,0.9,0,0,13.7,23,0.25,6,,,,
84,47,56,50,0.47,62,17.7,0.7,0,3,14.8,41,0.31,3.8,,,,
86,49,52,40,0.5,33,21.3,0.8,0,0,15.2,30,0.28,2.8,,,,
79,42,60,45,0.57,77,22,1,0,1.7,17.3,46,0.31,4.7,,,,
78,41,61,50,0.5,58,20,0.8,25,3.5,18.2,38,0.3,5.3,,,,
85,48,70,65,0.53,58,21.7,1.1,30,0.7,20.3,52,0.3,4.7,,,,
87,50,69,50,0.57,50,23.3,1.3,33,2.3,21.7,38,0.31,4.8,,,,
74,37,65,55,0.53,62,34,1,23,2,20.3,58,0.2,5.8,,,,
79,42,76,40,0.53,60,22.7,1,23,1.2,22.7,40,0.3,5.3,,,,
74,37,57,45,0.5,48,26.7,1.1,35,1.3,22.3,59,0.32,5.3,,,,
75,38,61,55,0.5,65,25.2,0.9,30,1.3,20.7,60,0.3,4.3,,,,
78,41,70,50,0.53,88,22,0.9,30,4.2,19,43,0.33,4.5,,,,
74,37,79,35,0.53,55,23.7,0.9,0,2.8,20.7,37,0.33,4.2,,,,
67,30,64,45,0.5,70,20.7,0.9,0,0,19.5,50,0.3,1.5,,,,
75,38,94,30,0.53,77,21.3,0.8,27,3.7,19.2,36,0.28,3.8,,,,
86,49,71,50,0.6,58,20.3,1,32,1.8,21.7,36,0.32,5.3,,,,
85,48,61,40,0.43,70,22,0.8,0,0,19.3,27,0.25,2.3,,,,
86,49,59,35,0.5,63,20.7,0.9,28,2.2,17.7,39,0.31,4.2,,,,
82,45,60,60,0.47,60,18.3,0.8,23,1,18,39,0.3,2.3,,,,
80,43,64,30,0.53,73,19,0.9,22,1.2,16.7,44,0.28,1.8,,,,
79,42,84,40,0.73,58,26.3,1.1,23,0,25,59,0.27,3.5,,,,
99,62,44,40,0.4,0,13.8,0.7,0,0,13.5,15,0.25,3,,,,
77,40,60,50,0.57,55,23,1,32,2.3,21.8,66,0.32,5.7,,,,
90,53,73,45,0.5,38,25.3,0.9,28,3.5,25.3,44,0.31,5.8,,,,
77,40,50,40,0.3,62,19,0.9,0,0,15.8,33,0.25,2.2,,,,
74,37,66,40,0.5,67,22,1,32,0.7,21,39,0.3,5.7,,,,
72,35,60,70,0.4,60,19.5,0.9,33,4.7,19.8,38,0.3,3.7,,,,
97,60,59,60,0.53,47,25.3,1,28,0,19.3,43,0.27,5.3,,,,
76,39,69,55,0.53,67,27.3,1.1,32,5.5,23.7,61,0.3,4.2,,,,
70,33,60,40,0.43,77,22.5,0.8,22,4.5,17,28,0.25,4,,,,
81,44,66,50,0.6,78,23.3,1,7,0,21.3,50,0.24,4.3,,,,
82,45,69,55,0.5,48,24.3,0.9,27,4.2,19.7,46,0.3,2.7,,,,
69,32,67,50,0.47,65,21.3,1,0,3.8,19,33,0.32,5.5,,,,
70,33,68,50,0.37,60,19.8,0.9,27,4.3,18.7,41,0.28,3.7,,,,
88,51,65,45,0.5,37,28.2,1.1,28,1.3,24,52,0.3,7.2,,,,
77,40,64,45,0.53,65,23.3,1.1,18,0.7,20.3,33,0.34,5.5,,,,
69,32,65,55,0.43,75,21.2,0.9,0,2,19,35,0.3,3.2,,,,
81,44,64,55,0.43,55,21,1,32,2.5,20.7,39,0.33,4.5,,,,
69,32,57,45,0.47,57,20,0.9,0,1.5,20.3,47,0.3,4.7,,,,
86,49,55,40,0.5,40,16.5,1.1,0,3,16.3,33,0.31,4,,,,
77,40,61,45,0.33,90,18,0.7,15,5.7,20.3,32,0.33,3.8,,,,
77,40,59,40,0.57,55,21.3,0.9,0,1.3,20,38,0.27,4.7,,,,
86,49,68,50,0.5,55,21.7,0.9,0,1,21.8,56,0.28,2,,,,
77,40,67,60,0.47,72,26.2,1.2,27,3.8,20.3,62,0.32,3.7,,,,
73,36,66,35,0.53,57,24,0.9,20,4.7,19.2,47,0.3,5.5,,,,
78,41,68,60,0.53,60,21,0.8,0,0.5,18,46,0.3,4,,,,
69,32,57,30,0.4,62,17.7,0.9,0,3,16.7,24,0.31,4.7,,,,
75,38,66,40,0.47,53,19.8,0.8,0,1,18.7,32,0.24,3.2,,,,
84,47,65,45,0.63,47,19.3,1,25,4.7,18.8,42,0.3,3.5,,,,
67,30,64,45,0.5,57,22,0.9,30,1.8,17.5,47,0.25,2.7,,,,
73,36,73,55,0.53,67,30.7,1,32,1,25.3,61,0.31,5.7,,,,
88,51,67,55,0.5,65,18.3,0.9,32,2.3,17,31,0.31,4.2,,,,
76,39,79,50,0.53,53,21,0.8,17,4.5,19.2,38,0.31,3.7,,,,
69,32,54,40,0.43,60,20,0.7,0,0,16,25,0.3,3.8,,,,
70,33,65,30,0.4,55,23.3,0.9,0,4,20.3,32,0.25,5,,,,
69,32,77,45,0.5,65,24.5,0.8,25,0,20,36,0.31,3.7,,,,
68,31,73,50,0.5,53,18.3,0.8,0,2.3,19.3,37,0.3,6,,,,
75,38,63,45,0.47,73,25.8,1,0,2.5,19.2,46,0.3,4.5,,,,
68,31,61,40,0.37,63,18.7,0.9,0,3.2,16,36,0.25,1.8,,,,
85,48,70,50,0.67,63,23.7,0.9,30,2.7,23.7,49,0.3,3.7,,,,
83,46,77,70,0.6,70,34.2,1.1,33,5.8,23.7,60,0.27,4,,,,
71,34,61,45,0.4,88,23,1,0,1.5,21.3,41,0.31,4.8,,,,
86,49,67,45,0.57,50,17.5,0.8,0,4,17,35,0.3,2.3,,,,
69,32,67,50,0.47,63,22.7,1,35,1.5,21,41,0.3,3.5,,,,
75,38,60,50,0.6,60,23.7,1,0,1,18.7,33,0.3,4.3,,,,
68,31,63,50,0.53,72,22.8,0.9,0,0,18,49,0.2,1.8,,,,
69,32,54,45,0.53,50,24,0.9,0,3,15.8,32,0.3,2.7,,,,
67,30,64,50,0.5,38,20,0.7,40,1.8,17.3,39,0.28,2.5,,,,
78,41,87,50,0.57,48,23.2,1,28,5.7,25.2,62,0.31,4.3,,,,
77,40,63,50,0.47,53,17.3,0.7,0,0,17,31,0.3,5.2,,,,
69,32,65,40,0.53,67,25.2,1,0,0,20.3,45,0.28,4.7,,,,
73,36,65,50,0.57,40,18.3,0.8,0,1.5,18.8,36,0.3,4.5,,,,
68,31,65,60,0.43,47,24.8,0.9,0,0,21.5,46,0.24,4.7,,,,
84,47,62,50,0.5,67,23.7,0.8,0,1.5,17.7,35,0.28,4,,,,
79,42,66,60,0.5,62,19.5,1,27,0,19.3,45,0.3,4.7,,,,
88,51,63,45,0.53,50,20.3,0.9,23,2,17.5,31,0.28,4.2,,,,
76,39,51,50,0.47,58,16,0.8,0,0,13.8,33,0.27,3.7,,,,
75,38,83,70,0.5,63,20.3,0.8,27,3.2,23.2,44,0.32,3.8,,,,
102,65,61,50,0.53,42,20,0.7,20,2.7,17.7,27,0.3,4.5,,,,
68,31,71,35,0.63,60,23.3,0.9,0,0,22.3,53,0.3,5.8,,,,
70,33,55,40,0.47,10,13.3,0.7,0,0,15.5,30,0.28,3.2,,,,
91,54,83,50,0.5,65,23.7,1.1,27,5,23.7,47,0.3,5.8,,,,
