Traits	Trait_ID	Cart	QTL	chr	start_cM	end_cM	peak_cM	start_bp	end_bp
Anther length	1	RI	ANL1_1	chr1	19.49	30.2	20.97	4738272	6816975
Anther length	1	RI	ANL1_2	chr1	39.91	46.75	44.07	8455545	10234900
Anther length	1	RI	ANL1_3	chr1	130.76	132.64	131.52	39135936	39484214
Anther length	1	RI	ANL2	chr2	106.35	113.51	109.54	26291292	28687735
Anther length	1	RI	ANL3	chr3	118.8	125.39	122.76	29178111	30407995
Anther length	1	RI	ANL4_1	chr4	0	2.94	0.71	0	730353
Anther length	1	RI	ANL4_2	chr4	81.07	82.61	81.93	28414468	28978573
Anther length	1	RI	ANL5_1	chr5	31.35	34.41	32.34	6223962	7284842
Anther length	1	RI	ANL5_2	chr5	95.62	96.6	96.43	27971442	28318552
Anther length	1	RI	ANL6	chr6	56.49	65.21	63.23	19391823	21762187
Anther length	1	RI	ANL7	chr7	73.34	78.75	77.5	24483622	25339184
Anther length	1	RI	ANL8	chr8	0.56	15.93	1.3	245883	2276618
Anther length	1	RI	ANL9	chr9	44.9	49.91	48.65	18093335	19031187
Anther length	1	RI	ANL11	chr11	59.93	63.62	61.36	19903904	20967048
First heading	2	RI	FH1	chr1	16.33	26.14	17.58	3970953	6301747
First heading	2	RI	FH2	chr2	114.31	124.97	119.33	29268591	33357687
First heading	2	RI	FH3	chr3	42.58	45.17	44.36	8511365	9259721
First heading	2	RI	FH6_1	chr6	19.69	24.98	22.1	4384207	5670306
First heading	2	RI	FH6_2	chr6	39.14	39.94	39.23	8837817	9434866
First heading	2	RI	FH7_1	chr7	42.02	42.9	42.81	8860296	10643121
First heading	2	RI	FH7_2	chr7	98.57	99.1	99.1	29339124	29697621
First heading	2	RI	FH8_1	chr8	21.99	23.55	22.33	3338795	3541453
First heading	2	RI	FH8_2	chr8	59.25	84.96	61.91	20511373	25984521
First heading	2	RI	FH9	chr9	29.68	55.55	48.83	13928267	20290387
First heading	2	RI	FH10	chr10	27.92	29.62	28.9	14656221	14970944
Panicle exsertion	3	RI	PE1	chr1	11	21.06	17.67	2559104	5141447
Panicle exsertion	3	RI	PE2	chr2	42.55	51.08	47.58	7525652	10216743
Panicle exsertion	3	RI	PE5	chr5	34.68	40.67	37.49	7350823	14903689
Panicle exsertion	3	RI	PE8	chr8	63.1	94.15	65.53	21090804	27250272
Panicle exsertion	3	RI	PE9	chr9	38.85	41.72	39.77	16201323	17092925
Awn length	1	FR	AWL1	chr1	111.51	122.2	113.7	31779850	36998873
Awn length	1	FR	AWL2_1	chr2	22.38	32.13	26.3	4722533	5877870
Awn length	1	FR	AWL2_2	chr2	57.28	58.47	57.93	11755494	15892394
Awn length	1	FR	AWL3_1	chr3	55.81	57.06	56.43	12099795	12591020
Awn length	1	FR	AWL3_2	chr3	107.92	110.44	109.45	26790755	27337842
Awn length	1	FR	AWL3_3	chr3	122.23	125.39	123.91	29605498	30407995
Awn length	1	FR	AWL4_1	chr4	13.31	13.86	13.5	4444510	4548283
Awn length	1	FR	AWL4_2	chr4	15.43	17.05	15.88	5249044	5788399
Awn length	1	FR	AWL4_3	chr4	75.66	76.33	76.08	25765304	26358926
Awn length	1	FR	AWL10	chr10	57.95	60.45	59.18	20723126	20992430
Awn length	1	FR	AWL11	chr11	64.78	66.11	65.22	21249429	21987777
Awn length	1	FR	AWL12	chr12	43.2	46.41	45.66	17463487	18293944
Clum habit	2	FR	CH6	chr6	27.38	57.83	48.84	6152974	19971058
Clum habit	2	FR	CH7	chr7	77.77	79.38	78.84	25057577	25378901
Clum habit	2	FR	CH9	chr9	2.2	8.71	4.45	6973159	8727682
Clum length	3	FR	CL1_1	chr1	12.1	19.93	15.1	2845930	4805936
Clum length	3	FR	CL1_2	chr1	113.88	124.44	121.07	32688349	37932338
Clum length	3	FR	CL3_1	chr3	48.32	48.7	48.41	10087001	10153174
